unitid,Other,Female,Male,Asian,American Indian,Black,Hispanic,White,Unknown
126702,144,144,144,72,72,72,72,72,72
126711,90,90,90,45,45,45,45,45,45
126748,72,72,72,36,36,36,36,36,36
126775,144,144,144,72,72,72,72,72,72
126784,72,72,72,36,36,36,36,36,36
126818,144,144,144,72,72,72,72,72,72
126827,144,144,144,72,72,72,72,72,72
126863,72,72,72,36,36,36,36,36,36
126872,144,144,144,72,72,72,72,72,72
126924,72,72,72,36,36,36,36,36,36
126942,72,72,72,36,36,36,36,36,36
126951,72,72,72,36,36,36,36,36,36
127024,144,144,144,72,72,72,72,72,72
127060,144,144,144,72,72,72,72,72,72
127185,144,144,144,72,72,72,72,72,72
127200,72,72,72,36,36,36,36,36,36
127389,72,72,72,36,36,36,36,36,36
127556,144,144,144,72,72,72,72,72,72
127565,144,144,144,72,72,72,72,72,72
127617,72,72,72,36,36,36,36,36,36
127653,144,144,144,72,72,72,72,72,72
127680,144,144,144,72,72,72,72,72,72
127699,144,144,144,72,72,72,72,72,72
127714,144,144,144,72,72,72,72,72,72
127732,72,72,72,36,36,36,36,36,36
127741,144,144,144,72,72,72,72,72,72
127778,72,72,72,36,36,36,36,36,36
127787,72,72,72,36,36,36,36,36,36
127820,72,72,72,36,36,36,36,36,36
127839,72,72,72,36,36,36,36,36,36
127884,72,72,72,36,36,36,36,36,36
127909,72,72,72,36,36,36,36,36,36
127918,144,144,144,72,72,72,72,72,72
127945,144,144,144,72,72,72,72,72,72
128106,144,144,144,72,72,72,72,72,72
128179,72,72,72,36,36,36,36,36,36
128188,72,72,72,36,36,36,36,36,36
128258,72,72,72,36,36,36,36,36,36
128328,108,108,108,54,54,54,54,54,54
128391,144,144,144,72,72,72,72,72,72
128498,144,144,144,72,72,72,72,72,72
128577,72,72,72,36,36,36,36,36,36
128683,144,144,144,72,72,72,72,72,72
128744,144,144,144,72,72,72,72,72,72
128771,144,144,144,72,72,72,72,72,72
128902,144,144,144,72,72,72,72,72,72
129020,144,144,144,72,72,72,72,72,72
129154,144,144,144,72,72,72,72,72,72
129215,144,144,144,72,72,72,72,72,72
129242,144,144,144,72,72,72,72,72,72
129367,72,72,72,36,36,36,36,36,36
129525,144,144,144,72,72,72,72,72,72
129543,72,72,72,36,36,36,36,36,36
129613,54,54,54,27,27,27,27,27,27
129695,72,72,72,36,36,36,36,36,36
129729,72,72,72,36,36,36,36,36,36
129756,72,72,72,36,36,36,36,36,36
129774,144,144,144,72,72,72,72,72,72
129808,72,72,72,36,36,36,36,36,36
129941,144,144,144,72,72,72,72,72,72
130004,72,72,72,36,36,36,36,36,36
130040,72,72,72,36,36,36,36,36,36
130110,144,144,144,72,72,72,72,72,72
130183,144,144,144,72,72,72,72,72,72
130217,72,72,72,36,36,36,36,36,36
130226,144,144,144,72,72,72,72,72,72
130253,144,144,144,72,72,72,72,72,72
130314,144,144,144,72,72,72,72,72,72
130396,72,72,72,36,36,36,36,36,36
130448,90,90,90,45,45,45,45,45,45
130493,144,144,144,72,72,72,72,72,72
130590,144,144,144,72,72,72,72,72,72
130606,72,72,72,36,36,36,36,36,36
130624,108,108,108,54,54,54,54,54,54
130697,144,144,144,72,72,72,72,72,72
130776,144,144,144,72,72,72,72,72,72
130794,144,144,144,72,72,72,72,72,72
130891,72,72,72,36,36,36,36,36,36
130907,72,72,72,36,36,36,36,36,36
130916,72,72,72,36,36,36,36,36,36
130934,144,144,144,72,72,72,72,72,72
130943,144,144,144,72,72,72,72,72,72
130989,144,144,144,72,72,72,72,72,72
131098,144,144,144,72,72,72,72,72,72
131113,144,144,144,72,72,72,72,72,72
131159,144,144,144,72,72,72,72,72,72
131283,144,144,144,72,72,72,72,72,72
131308,144,144,144,72,72,72,72,72,72
131399,144,144,144,72,72,72,72,72,72
131450,144,144,144,72,72,72,72,72,72
131469,144,144,144,72,72,72,72,72,72
131496,144,144,144,72,72,72,72,72,72
131520,144,144,144,72,72,72,72,72,72
131742,72,72,72,36,36,36,36,36,36
131803,144,144,144,72,72,72,72,72,72
131876,144,144,144,72,72,72,72,72,72
132338,144,144,144,72,72,72,72,72,72
132408,144,144,144,72,72,72,72,72,72
132471,144,144,144,72,72,72,72,72,72
132602,144,144,144,72,72,72,72,72,72
132657,144,144,144,72,72,72,72,72,72
132693,90,90,90,45,45,45,45,45,45
132709,144,144,144,72,72,72,72,72,72
132806,72,72,72,36,36,36,36,36,36
132842,144,144,144,72,72,72,72,72,72
132851,144,144,144,72,72,72,72,72,72
132879,144,144,144,72,72,72,72,72,72
132903,144,144,144,72,72,72,72,72,72
133021,144,144,144,72,72,72,72,72,72
133085,144,144,144,72,72,72,72,72,72
133386,144,144,144,72,72,72,72,72,72
133465,144,144,144,72,72,72,72,72,72
133492,144,144,144,72,72,72,72,72,72
133508,144,144,144,72,72,72,72,72,72
133526,144,144,144,72,72,72,72,72,72
133553,144,144,144,72,72,72,72,72,72
133650,144,144,144,72,72,72,72,72,72
133669,144,144,144,72,72,72,72,72,72
133702,144,144,144,72,72,72,72,72,72
133711,144,144,144,72,72,72,72,72,72
133809,144,144,144,72,72,72,72,72,72
133845,72,72,72,36,36,36,36,36,36
133854,72,72,72,36,36,36,36,36,36
133863,72,72,72,36,36,36,36,36,36
133872,144,144,144,72,72,72,72,72,72
133881,144,144,144,72,72,72,72,72,72
133951,144,144,144,72,72,72,72,72,72
133960,72,72,72,36,36,36,36,36,36
133979,144,144,144,72,72,72,72,72,72
133997,144,144,144,72,72,72,72,72,72
134079,144,144,144,72,72,72,72,72,72
134097,144,144,144,72,72,72,72,72,72
134112,90,90,90,45,45,45,45,45,45
134121,90,90,90,45,45,45,45,45,45
134130,144,144,144,72,72,72,72,72,72
134149,144,144,144,72,72,72,72,72,72
134237,144,144,144,72,72,72,72,72,72
134343,144,144,144,72,72,72,72,72,72
134495,72,72,72,36,36,36,36,36,36
134510,144,144,144,72,72,72,72,72,72
134608,144,144,144,72,72,72,72,72,72
134680,144,144,144,72,72,72,72,72,72
